id,r_1_1,r_1_2,r_1_3,r_1_4,r_1_5,r_1_6,r_1_7,r_1_8,r_1_9,r_1_10,r_2_1,r_2_2,r_2_3,r_2_4,r_2_5,r_2_6,r_2_7,r_2_8,r_2_9,r_2_10
5043,3,4,3,3,3,3,3,1,2,2,3,3,3,3,2,3,3,2,2,3
5201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5213,4,4,4,3,4,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5411,3,3,4,3,4,3,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5554,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,3,3,4,4
5575,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,2,2
5689,4,4,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,4,3,4
5713,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,2,2,4
5742,4,4,4,3,3,3,3,3,3,4,4,4,3,4,3,4,4,2,3,4
5847,3,3,3,3,1,2,2,1,1,1,3,3,3,3,2,2,2,1,1,1
5884,4,4,3,4,3,3,3,2,2,3,4,4,3,4,3,3,3,3,3,3
5932,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3
6078,4,3,4,3,4,3,3,2,2,3,4,4,4,3,3,3,3,3,2,2
6412,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,2,4
6507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
6628,2,3,2,3,2,2,2,1,1,1,3,4,2,3,2,2,2,1,1,1
6749,4,4,4,4,3,3,4,3,3,2,4,4,4,4,3,3,3,2,2,2
6934,4,4,3,3,4,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,1
7060,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
7172,3,4,3,3,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7177,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2
7268,4,4,3,3,4,3,3,1,2,3,4,4,4,3,4,2,2,2,3,4
7272,4,4,4,3,4,3,3,2,2,3,3,3,4,3,3,3,3,3,2,4
7463,4,4,3,3,3,2,2,2,2,2,3,3,4,3,4,3,3,3,3,3
7492,4,4,3,4,3,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7632,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4
7748,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
8211,4,4,4,3,4,3,3,2,2,3,4,4,4,4,4,2,2,2,2,4
8230,3,3,2,3,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2,3
8282,4,4,3,4,1,4,4,4,3,3,4,4,3,3,4,3,3,4,3,3
8416,4,4,4,3,4,3,3,2,3,3,4,4,4,3,4,3,3,2,3,3
8457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,3,3,3,3,4
8462,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8663,3,3,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,4,4,4
8751,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,2,4,4
8904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,2,2,3,4,4,1
9094,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3
9096,4,4,4,4,4,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,4,3,3,2,2,2
9272,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9289,4,4,3,4,4,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9494,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,3,4
9652,4,4,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9747,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,2
9778,4,4,4,4,4,4,3,3,2,4,4,4,4,3,3,3,3,3,2,4
9875,4,4,3,3,4,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9918,4,4,4,3,4,4,4,2,3,4,4,4,4,4,4,4,4,3,4,4
